stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,81.73,8.17,0,8.17,0,0,24.52,0,175.72,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,12.84,51.35,0,0,0,3.21,0,0,0,0,0,4.28,11.77,0,3.21,0,0,3.21,50.28,21.4,0,0,0,3.21,0,1.07,19.26,1.07,1.07,0,0,0
21Day,0,0,0,22.76,25.43,0,0,0,4.02,0,0,0,1.34,1.34,2.68,8.03,2.68,2.68,0,0,0,10.71,8.03,0,0,0,1.34,1.34,1.34,9.37,1.34,4.02,0,0,0
3Month,0.64,3.84,3.52,175.01,6.72,0.96,0.32,2.88,32.63,0,59.51,15.68,0.96,16.96,42.23,15.68,10.88,8.96,1.92,4.16,7.68,22.08,1.6,4.8,1.92,0,0.32,9.92,76.15,1.92,0,1.92,3.52,2024.64,7.04
22Month,0.55,0.55,1.09,83.09,1.09,1.09,0,0,18.59,0.55,13.67,0.55,0.55,1.09,3.28,1.64,2.73,1.09,0,0,1.64,5.47,0,0.55,1.09,1.64,0,0.55,66.69,1.64,0,0,0,6.01,0.55
