stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0
72hpf,0,1.07,4.28,1.07,0,1.07,0,1.07,5.35,13.91,2.14,0,1.07
21Day,2.68,0,4.02,0,1.34,2.68,1.34,0,1.34,9.37,1.34,2.68,0
