stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,28.6,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,9.63,2.14,0,5.35,4.28,124.1,0,1.07,1.07,0,0,0,0,0,0,6.42,36.37,2.14,16.05,2.14,0,300.61,39.58,0,6.42,8.56,1.07,0,25.67,11.77,12.84,33.16,0,0
21Day,0,0,1.34,33.46,1.34,199.44,0,70.94,1.34,1.34,0,0,1.34,6.69,5.35,1.34,8.03,0,14.72,4.02,0,73.62,12.05,0,5.35,5.35,6.69,0,12.05,14.72,38.82,6.69,0,2.68
3Month,0.32,0,0,24,0,0,3.52,1.6,14.72,0.32,0,3.84,2.56,0,2.88,0,2.88,1.92,1.6,0,2.56,0.64,0,0.96,0.32,0,0.32,7.68,0.32,0,0,0.96,5.76,0.32
22Month,0.55,2.73,0.55,8.75,1.09,0,0.55,1.64,9.29,0,2.19,14.21,0.55,0,8.2,0,1.64,2.73,1.09,0,0.55,2.19,0,1.09,0,0,0.55,1.64,0.55,0,0,0,0.55,1.09
