stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,40.86,265.62,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,2.14,1.07,0,0,0,0,0,0,0,0,0,0,9.63,0,1.07,0,0,0,192.56,20.33,210.75,1.07,0,13.91,0,0,6.42,0,0,0,0,0
21Day,0,1.34,0,112.44,0,1.34,0,0,0,0,0,1.34,2.68,2.68,5.35,0,4.02,0,5.35,0,0,0,377.47,28.11,9.37,0,0,5.35,0,1.34,0,0,9.37,0,0,2.68
3Month,0,0.32,0.64,769.16,0,0,17.28,0,2.24,3.52,0,18.24,11.52,0,7.04,2.24,6.4,28.8,12.48,0.96,0,5.44,0,0,111.02,0.64,0,0.96,0.96,3.84,0,0,0,0.64,0.64,4.8
22Month,2.73,7.11,0.55,2873.76,0.55,0,65.6,0.55,1.09,35.53,1.09,188.6,18.59,3.83,10.93,0.55,22.41,66.69,22.96,1.09,16.4,1.09,0,19.13,282.62,0,0.55,0.55,5.47,12.57,2.73,1.64,0,0,0,8.75
