stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,77.64,110.33,727.38,4.09,4.09,8.17,70486.39,0,4.09,65.38,122.59,118.51,343.26,4.09,228.84,3510.22,32.69,8.17
72hpf,2.14,0,175.45,0,0,2.14,40.65,0,0,0,8.56,0,1.07,0,21.4,10.7,1.07,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0.32,0,0,0,0,0
