stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,3.21,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0
3Month,1.92,0.96,13.76,0.32,0,0.32,0.96,3.2,0,27.2,5.12,1.92,8.96,0.96,5.44,1.6,4.8,2.88,0,0.64,0.96,0,0,0.64,0.32,0,0,0.96,4.8,0.64,0,0.32,4.48,4.16
22Month,9.29,1.64,10.93,0,0.55,0.55,1.64,21.87,9.84,175.48,5.47,2.19,16.4,1.09,2.73,12.57,13.67,0.55,8.75,0.55,0,1.09,0,4.37,2.73,75.44,0.55,0,12.03,1.09,0.55,1.09,0,2.19
