stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,2.14,0,0,0,0,1.07,0,1.07,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,2.24,0.32,0,0.64,0,0.64,0,0.32,0.32,0.32,0,0,0.96,9.92,0.32
22Month,0,2.19,8.75,0,0,0,1.09,0.55,1.09,0,0.55,0,0.55,0,0,0,0
