stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,2.14,1.07,1.07,0,100.56,0,0,1.07
21Day,1.34,2.68,4.02,1.34,0,0,1.34,1.34,1.34,1.34,2.68,2.68,89.68,2.68,2.68,0
3Month,0,0,0,0,0,0.64,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0
