stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,4.09,0,8.17,0,0,4.09,8.17,232.93,4.09,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,11.77,0,0,0,3.21,5.35,0,0,6.42,0,0,7.49,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,4.02,0,0,1.34,1.34,6.69,0,0,1.34,1.34,6.69,0,0,4.02,0,0,2.68,0,0,0,0
3Month,0,0.96,0.64,33.27,0.32,0,0.32,0.32,0.96,3.52,0,21.44,2.56,0.96,6.08,9.92,3.2,4.16,6.72,0.96,1.28,4.48,3.52,1.28,1.28,0,0.32,2.56,39.67,0.64,0.96,1.6,906.74,8.96
22Month,0,1.09,0,12.57,0.55,0,0,0,1.09,1.64,16.95,20.23,1.09,0.55,0,0,0.55,6.56,0,0,1.64,0,0,0.55,0.55,0.55,0,0,11.48,0,0,0,0.55,3.83
