stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,10.7,0,4.28,0,0,0,0,17.12,0,0,0,4.28,0,0,0,0,0,0
21Day,4.02,0,2.68,1.34,0,0,1.34,0,1.34,0,0,0,0,1.34,1.34,1.34,0,17.4,0,0,1.34,0,8.03,0,0,0,2.68,0,0,0,0,0,1.34
3Month,0.32,0.64,0.64,5.44,0,0.32,0.32,0.64,2.24,0,10.24,1.28,0.32,2.24,0.32,0.96,1.92,4.48,1.92,0,0,0.64,0,0,0,0.32,0.96,0.32,0.64,0,0.32,0.32,0.64
22Month,0.55,1.09,0,2.73,0,0.55,0,2.19,8.2,0.55,55.76,1.09,1.09,6.01,0,1.64,4.37,4.92,0,2.19,1.09,0,0,0.55,0.55,1.09,2.19,0,0.55,0.55,0,0,0.55
