stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,17.12,0,21.4,6.42,17.12,0,0,1.07,0,1.07,0,3.21,0,4.28,36.37,9.63,38.51,0,0,0,1369.33,104.84,1.07,1.07,0,44.93,1.07,0,12.84,1346.87,3383.75,3.21,0,0,0
21Day,144.56,22.76,16.06,441.72,16.06,299.83,53.54,12.05,18.74,0,70.94,12.05,139.21,57.56,34.8,236.92,73.62,576.91,0,56.22,10.71,669.27,270.38,12.05,21.42,0,230.23,159.29,6.69,56.22,5324.68,24973.01,17.4,2.68,0,58.9
3Month,0,0,0,0.64,0,0,0,0.32,0,0,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.96,0,1.6,6.72,0,0,0.64,0
22Month,0,1.09,0,2.73,0.55,0,0,1.09,4.92,1.09,14.21,1.09,0,3.83,0,0.55,2.73,1.64,1.09,0.55,0,3.28,0,0,1.09,0.55,0,0,0,2.19,62.32,3.28,0,0.55,0,0
