stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,12.26,0,0,16.35,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,6.42,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,13.91,1.07,9.63,0,0,43.86,18.19,2.14,3.21,0,2.14,0,1.07,0,0,0,0
21Day,0,0,13.39,0,4.02,0,0,0,0,2.68,8.03,10.71,1.34,4.02,5.35,0,8.03,0,0,10.71,6.69,0,2.68,0,0,0,0,0,0,0,13.39
3Month,0,1.28,6.4,0,0,0.64,0.64,0.96,0,4.16,0,0,3.84,1.28,2.56,6.08,0.96,0.32,0.64,0,0.32,0.32,0,7.04,0.32,0,0,0.32,2.88,1.6,10.24
22Month,0,2.19,5.47,0,0,0,1.09,1.09,1.09,30.61,142.68,0.55,4.92,2.19,0.55,3.83,6.01,3.28,0,0,0,1.09,0,5.47,0,1.09,0,0,15.31,0,9.84
