stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,1.07,1.07
21Day,1.34,0,0,0,0,0,1.34,0,1.34
3Month,0,0.32,0,0,0,0.32,0,0,0
22Month,0,0,1.64,0.55,0.55,0.55,0,0,0
