stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,2.14,1.07,0,0
3Month,0.32,0.32,0.32,0,0.64,0,8,25.28
