stage,Erythrocyte,Goblet_cell,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Spermatocyte
72hpf,1.07,0,0,3.21,1.07,0
21Day,0,0,0,2.68,0,0
3Month,0,0.32,0,0,0,0.32
22Month,0,0,1.64,0,0,0
