stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,53.12,0,0,0,0,0,0,0,0,0,0,89.9,0,0,4.09,0,0,16.35,12.26,322.83,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,18.19,18.19,2.14,0,0,0,0,0,0,0,0,7.49,18.19,0,4.28,0,0,1.07,22.47,28.88,0,0,1.07,0,0,13.91,0,0,0,0,0
21Day,1.34,0,0,6.69,9.37,0,1.34,0,0,0,0,0,0,0,2.68,5.35,0,0,0,1.34,0,10.71,5.35,0,0,0,1.34,0,8.03,1.34,0,0,0,0
3Month,0,1.92,2.24,80.95,9.6,0,0.32,3.84,6.4,0.32,42.87,8.96,0.96,13.12,31.04,13.12,10.88,8.32,0.32,1.92,7.04,24.32,1.92,2.56,0.96,0.96,5.12,59.51,0.96,0,1.6,3.84,1610.3,5.76
22Month,0,0.55,0,48.11,1.64,0,0,0,0,1.09,4.92,0,0,0,3.83,4.37,3.28,3.28,0,0.55,1.09,4.92,1.09,0,0.55,0,0.55,47.56,0.55,0,0.55,0,5.47,1.09
