stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,1.07,7.49,0,3.21,0,0,0
21Day,1.34,1.34,0,0,0,1.34,1.34,0,2.68,0,0
3Month,0,0,0.32,0.32,0,0,0.32,0,0,0.32,0.32
22Month,0,0.55,0.55,0,0,0,0,0,0,0,0
