stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,2.68,0,0,0,0,0,8.03,0,0,2.68,1.34,0,1.34,4.02,0,0,0,0,0,0,1.34
3Month,0,0,2.24,0,0,0,0.64,0.64,0.32,69.75,3.52,0.32,31.36,1.28,0,0,0,0,0,0.64,0,0.32,0.64,0.64
22Month,0,1.09,3.83,0,16.95,0.55,3.28,6.56,1.64,21.87,1.09,0.55,84.18,4.37,1.09,0.55,0,0.55,1.09,0,0.55,0,0,3.28
