stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,5.35,2.14,0,0,0,0,0,0,1.07,0,1.07,0,1.07,2.14,0,3.21,1.07,0,0,0
21Day,46.85,1.34,2.68,0,0,1.34,0,0,0,0,14.72,0,0,1.34,0,16.06,0,1.34,1.34,0
3Month,0,0,0,0.32,0.32,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0,0,7.11,0,0.55,0,0,1.09,0,0,0,0,2.19,0,0,0,0,1.09
