stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell
24hpf,4.09,0,0,4.09,0,0,0,0,4.09,8.17,0,4.09,0,16.35,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,1.64,1.09,1.64,0.55,3.83,3.28,17.49,0,1.09,0.55,1.64,0.55,0,0.55,103.86,0.55,0,1.09
