stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,2.14,1.07,0,0,0,0,0,2.14,0,0,1.07,62.05,1.07,1.07,0,1.07,0,0,5.35,1.07,0,0,0
21Day,1.34,0,4.02,0,0,0,1.34,0,1.34,1.34,0,0,54.88,1.34,0,2.68,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0.64,2.24,0,0.32,0,0,0,0,0,0.32,0.32,0.32,0,0.64,0.32,0,0,0.64,0.32,0.32
22Month,0,0,0,0,1.09,10.39,1.09,0,0,0.55,1.64,0,0,0,0,0,0,0.55,0,0,0,0,0,0
