stage,Cardiomyocyte,Endothelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,1.07,1.07,0,0,0,0,0,0,1.07,11.77,1.07,10.7,2.14,0,0,34.23,0,0,0
21Day,0,0,0,0,0,0,0,0,0,14.72,2.68,4.02,1.34,1.34,1.34,10.71,0,2.68,0
3Month,0,0,0.32,0,0.32,0,0,0.32,0,0.64,0,0.32,0,0,0,0,0.96,0,0.32
22Month,0,0,0,0.55,0,0.55,5.47,0,0,0.55,0,0,0,0,0.55,0,1.09,0,0
