stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,3.21,0,2.14,0,0,0,0,0,0,0,0,1.07,0,6.42,1.07,0,20.33,18.19,0,1.07,2.14,0,0,2.14,1.07,1.07,0,0,0
21Day,1.34,0,4.02,1.34,2.68,0,0,0,0,0,0,0,1.34,4.02,1.34,2.68,0,8.03,16.06,4.02,1.34,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0,2.56,0.32,0,0.32,0.32,0,1.6,0.32,0,0.64,0,0.64,0.64,0,0,2.88,0.32,0,0,0.64,0,0.32,0.96,0,0,0,0.32,0.32,0.64
22Month,0.55,0,2.19,0,0,0,0,0.55,4.37,0.55,0.55,0.55,0,1.09,1.64,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
