stage,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,3.21,3.21,1.07,0,1.07
21Day,1.34,2.68,1.34,0,1.34,1.34,2.68,1.34,1.34,1.34,0
3Month,0,0.96,0,0.32,0,0,0,0,0,0,0
