stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,1.34,0,0,4.02,0,0,0,0,0,1.34,0,0
3Month,0,0,0.32,0.32,0,0.32,3.2,0.64,0,0.64,0,0,0.32,0,0,0,0.32,2.24,0.32,0.32
22Month,0,1.09,0.55,0,0.55,0.55,6.01,0,0,1.64,0,0,1.09,1.09,0.55,0.55,0,3.28,0,0.55
