stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,1.07,1.07,1.07,2.14,0,7.49,3.21,0,0,0,0,1.07,0,0,0
21Day,0,0,0,2.68,0,0,0,1.34,0,0,0,6.69,1.34,12.05,1.34,2.68,0,2.68,1.34,0,0,0,1.34
3Month,0,0.32,5.12,0,0.32,1.28,8,1.28,0,1.92,0.32,0,0.32,0,0,0,1.92,0,0,0.64,1.28,0.32,0.64
22Month,1.09,0,1.09,0,0,0.55,4.37,1.64,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
