stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,0,0
21Day,8.03,0,9.37,0,0,1.34,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,4.02,0,0,0,0,0
3Month,18.88,0.32,32.63,0.32,0,58.87,1.92,0,0,4.48,0.64,1.28,7.36,0.64,0.64,0.64,0.64,0.96,0.96,0.32,0,0.64,0,0,0.96,1.6,0.96,0.64,1.28
22Month,13.67,7.11,18.59,0,0.55,42.64,1.64,1.09,0,18.59,1.09,4.92,5.47,0,2.19,9.29,0,0.55,0,0,0.55,1.09,1.09,0,0.55,4.92,1.64,0,1.09
