stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,106.25,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0
72hpf,0,0,0,49.21,0,1.07,0,0,0,0,0,0,0,0,0,1.07,9.63,0,28.88,0,0,0,0,5.35,5.35,0,21.4,0,0,1.07,0,0,0,0
21Day,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,32.12,0,0,0,0,2.68,2.68,0,14.72,2.68,0,0,0,0,0,0
3Month,0,3.2,0.96,15.68,0,0,0.32,0.32,0.64,1.92,0,12.48,1.92,0.32,3.52,0.64,4.48,0.64,21.76,3.84,0.32,1.92,0.64,0,0.32,0.64,0.96,0.96,1.6,0,0.64,3.52,2.24,0.64
22Month,0,3.28,1.64,8.2,0,0,0,0,0.55,2.19,4.37,58.49,0.55,0,5.47,0,0.55,4.92,15.85,0,0.55,0.55,0,0,0.55,0,0,1.09,1.64,1.09,1.09,0.55,0,1.64
