stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,4.09,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,2.14,1.07,0,8.56,3.21,0,2.14,0,0,0,0
21Day,2.68,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,4.8,0,5.44,0.32,0.32,0.32,1.6,0.32,0,0,0.64,0,0,0.64,0,0.32,7.68,18.24,0.32
22Month,0.55,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0
