stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,3.21,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,2.14,4.28,0,0,5.35,0,0,0,0,0,0,0
21Day,2.68,0,0,0,8.03,0,1.34,0,0,0,0,0,0,4.02,0,6.69,0,0,0,0,2.68,1.34,0,0,2.68,1.34,0,0,1.34,0,0,0
3Month,0,1.28,0.64,13.12,0,0.64,0,0.32,2.88,5.76,34.55,7.36,2.88,1.92,4.8,2.56,1.6,0,1.6,1.28,1.28,0,0.32,0.64,0,1.92,7.04,0.32,0,1.28,0.96,3.2
22Month,0,0,0,1.64,0,0,0.55,0,0.55,10.39,26.79,2.19,1.09,0.55,1.09,0.55,0,1.09,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,1.09
