stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,8.17,4.09,16.35,0,0,0,0,0,0,0,28.6,12.26,32.69,0,0,0,245.18,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,3.21,1.07,11.77,0,0,0,0,2.14,31.02,0,16.05,0,0,51.35,43.86,0,1.07,16.05,0,1.07,11.77,0,1.07,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,5.35,2.68,10.71,0,0,8.03,2.68,0,0,0,0,1.34,1.34,0,0,1.34,0
3Month,0,0,1.28,0,0,0.32,0.32,0.96,0.32,0,0,0,0.32,0.64,0.32,0,0,0,0.96,0,0.64,43.51,0,0.32,0,0.32,9.92
22Month,0,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0.55,0,0.55,0,0,0.55,1.09,0,0,0,0,0,0,0,0
