stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,4.09,0,0,0,0,4.09,0,4.09,28.6,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,2.14,1.07,0,0,0
21Day,1.34,4.02,2.68,0,1.34,5.35,0,2.68,0,1.34,1.34,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0.32
