stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,1.07,0,0,0,0,1.07,0,2.14,0,12.84,1.07,1.07,0,0,0,0,0,0
21Day,9.37,1.34,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,1.34,1.34,0,0
3Month,2.24,0.64,0.32,0.96,0,1.6,0.32,0,1.28,0.96,0,0,0,0,0.64,0,0,0,0.32,0.32
22Month,3.83,1.09,1.09,0.55,0.55,8.2,0,0,1.64,3.28,1.09,0,0,0.55,0,1.09,0,0,0,0
