stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,1.07,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0
3Month,0.32,0.64,0.64,0.96,0.96,0,0.32,0.64,0.32,0,0,0.32,0,0.32,0,22.4
