stage,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,8.17,0,0,24.52,4.09,0,0,0
72hpf,0,1.07,0,2.14,2.14,2.14,0,0,0,0
21Day,1.34,0,0,0,1.34,1.34,0,1.34,1.34,1.34
