stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0.64,11.2,0.32,0.96,5.44,32.95,0,42.87,1175.81,0.32,12.8,1.92,3.2,27.84,5.12,2.24,0,2.24,0.64,0.64,1.6,0.32,0.32,0.96,4.48,2.56,0,0,3.84,6.72,3.2
22Month,0,0,2.19,0,0,0.55,16.95,1.09,24.05,412.18,0,2.73,0.55,0.55,26.24,2.73,0,1.64,0,0,0.55,0.55,1.64,0,0.55,0.55,0.55,0.55,1.09,0,0,0
