stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,7.49,2.14,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,5.35,0,0,0,0,0,0
3Month,1.28,0,0.32,1.92,0.32,0.64,0.32,1.28,0.64,0.64,0.64,0,0.32,0.32,0.64
22Month,0,0,0.55,2.19,1.09,0,0,0,0,0,0,0,0,0,0
