stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,353.03,3.21,1.07,0,2.14,0,0,0,24.61,24.61,1.07,0,0,0
21Day,5.35,0,10.71,9.37,0,1.34,0,1.34,0,1.34,0,0,0,1.34,4.02,2.68,6.69,0,0,124.48,4.02,0,1.34,2.68,2.68,1.34,0,121.81,646.51,0,0,0,1.34
3Month,0,0,1.28,0,0.32,0,0,11.84,0,5.76,0.64,0,1.28,0.32,0.32,1.6,0.32,0.64,0.32,0.64,0,0,0,0,0.32,10.56,0.32,0,0.32,0,0.32,1.28,0.64
22Month,0,1.64,1.09,0,0,0,1.64,14.76,2.73,29.52,0,0.55,3.83,0.55,0,0.55,3.83,0,0,2.73,0.55,2.19,0,0,0,13.67,1.64,4.92,0,0,0,0,0
