stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,5.35,0,3.21,0,3.21,0,62.05,25.67,0,2.14,3.21,0,0,2.14,0,0,0,0
21Day,0,0,8.03,1.34,1.34,0,0,0,0,0,0,2.68,0,0,4.02,0,12.05,0,1.34,0,10.71,4.02,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.96,0.32,15.36,0.64,0,0.32,0.96,1.28,0,8,3.84,0.32,2.88,1.28,6.72,3.2,4.16,0.96,0.64,1.28,1.6,0.32,0.64,0.64,0.96,0.96,5.44,0.32,0,0.32,0.64,2.24
22Month,0.55,0,4.92,0,0,0,0.55,1.64,1.09,18.59,1.09,0.55,3.28,0,1.64,3.28,4.92,0,0.55,0,2.73,0,1.09,1.09,0,0,2.19,1.09,0,0,0,0.55
