stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,6.42,0,2.14,0,0,0,8.56,1.07,0,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,2.68,0,28.11,0,1.34,0,0,0,2.68,0,0,0,0,10.71,1.34,0,0,0
3Month,0,0,6.4,0,0.64,0.32,0,8,2.24,0.64,1.6,0.32,2.24,2.24,3.2,0,0.32,0.64,0.96,0,0.64,0,0.32,108.46,0.32,0.32,50.87,1.6
22Month,0.55,0.55,6.01,0.55,0,2.73,0.55,49.75,0,0.55,4.37,0,0,1.09,3.83,6.01,0.55,0,0,0,0.55,0,0.55,55.76,0,0,2.19,0.55
