stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,8.17,0,0,0,0,0,0,0,8.17,0,8.17,0,0,65.38,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,5.35,0,2.14,0,10.7,9.63,0,0,2.14,0,0,2.14,0,0
21Day,4.02,6.69,2.68,0,0,0,2.68,0,1.34,1.34,0,10.71,1.34,4.02,6.69,0,0,2.68,1.34,0,1.34,1.34,1.34
3Month,0,0,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0.96,0,0,0
22Month,0,2.19,0,0.55,10.39,1.09,0,2.19,0,0.55,4.92,2.19,0,0,0,0.55,0.55,0,0,4.37,0,0,0
