stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,16.35,0,0,4.09,4.09,4.09,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,12.84,0,0,0,0,0,0,0,0,0,2.14,6.42,1.07,12.84,0,0,1.07,0,2.14,0,0,14.98,0,0,0,1.07,0,0,0,0
21Day,0,4.02,0,10.71,0,16.06,0,12.05,0,0,0,2.68,0,5.35,0,1.34,0,1.34,25.43,0,4.02,0,1.34,0,0,0,5.35,1.34,0,0,0,0,0,0,0
3Month,0,10.56,0.96,58.55,0,0,2.56,5.12,8.32,19.2,0.64,5.44,10.88,10.24,3.2,3.84,11.2,39.03,55.03,10.24,3.52,16.64,1.92,0,2.56,0,1.6,1.6,0.32,26.24,0,0.32,25.6,5.44,8.64
22Month,0,19.68,0.55,19.13,0,0,1.64,1.64,0.55,14.21,2.73,34.99,7.65,10.93,1.64,0,1.09,32.25,33.89,0.55,1.09,1.09,0,0,0.55,0.55,0.55,0,0,1.64,0,0,2.19,0,3.28
