stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,1.34,2.68,0,0,0,0,1.34,0,0,0,0
3Month,0,0.96,12.48,0.64,0.32,0.64,0,71.03,0.64,0,8.64,0.32,2.56,0.64,1.28,0.32,0.32,7.04,0,0,0,0.32,0,1.28,2.88,0,0.96,2.56,0.64
22Month,0,1.64,1.64,0,0,2.19,1.09,160.72,0.55,0.55,9.29,0,0.55,0,0.55,0,2.19,0,0,0,1.09,0,0,0,1.09,0.55,0.55,0,0.55
