stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0.64,2.24,5.76,0.64,1.92,441.21,2.88,0.64,9.92,0.64,2.56,1.6,6.72,0.64,0.96,2.24,0.32,0.32,0.64,0.96,5.44,0.64,0.96,0,0.96,0.32,0.64
22Month,0,0,0,2.19,0,0.55,55.21,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0.55,0,0
