stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,8.17,65.38,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,3.21,1.07,41.72,0,0,0,0,0,0,1.07,0,2.14,7.49,1.07,5.35,0,0,1.07,47.07,18.19,0,6.42,0,0,2.14,2.14,1.07,0,0,0,0
21Day,5.35,1.34,6.69,1.34,53.54,0,6.69,0,0,5.35,0,1.34,0,0,1.34,4.02,12.05,0,1.34,0,16.06,5.35,0,1.34,0,0,2.68,0,1.34,0,0,0,1.34
3Month,0,3.2,21.44,0,0,1.92,0,2.56,1.28,20.16,1.6,0,4.48,3.52,5.76,4.48,8.32,1.28,1.6,0.32,0.32,0.32,0.64,0.32,0,6.08,0.64,0,0,0.64,1.6,3.2,1.92
22Month,0,0.55,3.28,0,0,1.09,0,0,2.73,21.32,0.55,0,3.28,0,0,6.01,1.09,0.55,0,0,0,0,0,0,0.55,0,0.55,1.09,0,0,0,0,0
