stage,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,1.07,0,1.07,3.21
21Day,0,1.34,0,1.34,2.68,5.35
3Month,3.2,0,0,0,0,0
22Month,11.48,0,0,0,0,0
