stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,253.36,4.09,4.09,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,25.67,0,1.07,0,0,0,0,0,0,0,0,6.42,571.27,1.07,2.14,0,1.07,0,28.88,11.77,1.07,1.07,0,3.21,0,0,1.07,0,0,0,0,0
21Day,4.02,0,0,240.94,0,8.03,0,0,0,0,2.68,2.68,4.02,1.34,1.34,1524.59,4.02,17.4,0,0,1.34,16.06,4.02,1.34,0,0,12.05,9.37,4.02,0,1.34,17.4,1.34,1.34,0
3Month,0.32,0,0.32,93.43,0.32,0,0.64,0.96,2.24,0.32,15.36,4.48,0,7.68,0.32,1.92,1.92,0.96,0.64,0,0.32,0,0,0,0.32,0,0,0.32,11.52,0,0,0,0.32,2.24,1.6
22Month,0,0,1.09,7.11,0,0,0.55,0.55,6.01,2.19,48.65,5.47,1.64,9.29,0,1.09,3.28,3.28,0,0.55,0,0,0,0.55,0,0.55,0.55,1.09,9.84,0,0.55,0,0,0,1.64
