stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,24.52,0,69.47,0,0,0,4.09,0,0,0,8.17,0,0,0,0,8.17,0,4.09,167.54,0,0,0,0,4.09,335.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,16.05,5.35,1.07,0,0,0,0,0,0,0,0,0,0,12.84,1.07,1.07,118.75,0,1.07,5.35,0,7.49,32.09,4.28,51.35,2.14,0,0,0,0,6.42,0,0,0
21Day,1.34,2.68,1.34,1.34,1.34,0,0,2.68,0,0,0,0,0,0,1.34,0,0,1.34,1.34,78.97,0,0,4.02,0,5.35,13.39,0,60.23,4.02,0,0,1.34,2.68,2.68,0,0,0
3Month,0.32,0.32,0,6.08,0.96,0,0.64,0.32,0.32,0.32,0.32,0,6.08,2.56,0.64,12.8,3.84,1.92,0.64,20.48,0.64,0,3.84,0.96,0.32,0.64,10.24,0,0.32,14.4,0.64,0,0,0.64,0.32,2.56,0.64
22Month,0,0,1.64,2.19,0,0,0,0,0,0.55,0.55,0,23.51,1.09,1.09,12.03,0,0,0.55,15.85,0.55,0.55,1.09,0,1.09,0,6.01,0,0,12.57,0,0,0,0.55,0,0.55,0.55
