stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,16.35,40.86,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,0,11.77,16.05,8.56,0,0,0,0,0,0,0,0,0,0,108.05,2.14,74.89,0,1.07,0,1244.17,56.7,4.28,3.21,172.24,0,0,6.42,4.28,3.21,1.07,0,0
21Day,6.69,0,0,44.17,6.69,18.74,0,4.02,0,0,0,0,0,4.02,1.34,2.68,49.53,5.35,157.95,0,8.03,0,372.11,29.45,9.37,8.03,422.98,21.42,0,8.03,8.03,50.86,0,0,0
3Month,0.64,0,0.64,75.83,0.32,0,0.32,0,1.28,0.32,0.32,3.2,1.28,0,4.8,1.92,90.87,1.28,28.16,1.28,0.96,0.32,2.88,0.32,8.32,0.32,1.6,0.64,1.92,0,0,0,0.32,1.28,5.12
22Month,0,0.55,0,9.29,0,0,0,0,0,0,0.55,6.01,0,0.55,0.55,0,7.11,0.55,4.92,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0
