stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,0,4.09,0,0,0,0,0,4.09,61.3,0
72hpf,0,1.07,1.07,1.07,2.14,0,1.07,1.07,2.14,4.28,1.07
21Day,0,0,0,1.34,1.34,1.34,0,0,0,4.02,1.34
