stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,1.07,0,0,0,0,0,1.07,0,0,3.21,0,0,8.56,1.07,2.14,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,1.34,5.35,0,0,0,0,1.34,0,1.34,0,0,0
3Month,1.6,0,0,0.32,0.32,0,1.28,0.64,0,0.32,0,2.56,0,0,0,0,0,0.64,0,0.32,35.51,0.96
22Month,0,0,0,0,0,0.55,2.19,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
