stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,0,0,87.72,3.21,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,2.68,0,0,0,0,2.68,0,53.54,4.02,0,1.34,2.68,0,0,1.34,5.35,0,0,0
3Month,0.32,1.28,0.32,2.88,0,0,0.32,0,10.24,0.64,1.28,1.6,0,1.6,0.96,0.96,0.32,2.88,0,2.56,0,0.32,1.6,0.32,0.32,0,0.32,0.64,0.96
22Month,0,0.55,0,2.73,0,0.55,1.64,1.09,53.03,1.09,0.55,3.83,0,0,3.28,3.28,0,2.73,0,2.73,1.64,0,3.83,0,0,0,0,0,1.09
