stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,0,0,0,0,0,0,0,0,9.63,4.28,0,5.35,0,0,0,0,70.61,22.47,0,0,0,7.49,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,16.06,0,0,0,0,1.34,0,1.34,2.68,2.68,1.34,1.34,16.06,1.34,0,9.37,0,45.51,8.03,0,0,0,13.39,6.69,0,0,2.68,1.34,0,0,0,2.68
3Month,0.32,1.28,1.28,77.11,0.32,5.44,1.6,0,19.84,2.56,0,5.44,8.96,4.8,2.24,13.12,1.92,0,2.56,0.64,3.52,0.64,1.92,0.32,0,0.64,1.92,2.88,0,0,0,0.32,1.6,4.16,0.96
22Month,0.55,1.64,3.83,20.77,1.09,2.19,1.64,8.75,53.57,0.55,0,8.2,2.19,1.09,1.09,7.11,0.55,2.19,1.64,0,1.64,0,2.19,1.09,0.55,0.55,0.55,4.37,0,0,0,0,0,0,0.55
