stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,8.17,8.17,65.38,0,0,0,0,0,4.09,49.04,4.09,73.56,0,0,8.17,269.7,0,16.35,0,0,0,4.09,0
72hpf,4.28,0,3.21,4.28,0,0,0,1.07,1.07,3.21,4.28,8.56,0,1.07,70.61,43.86,1.07,5.35,0,0,7.49,2.14,0
21Day,4.02,1.34,8.03,6.69,0,2.68,0,0,0,4.02,2.68,8.03,1.34,0,9.37,9.37,0,4.02,4.02,0,1.34,1.34,0
3Month,0,0.32,5.44,0,0.32,0,1.28,0.32,0.32,3.2,0,0.64,0,0,0,0,0.32,0,0,0.32,0.32,0,0.32
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
