stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,69.47,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0,0,0,4.09,44.95,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,3.21,2.14,1.07,0,0,0,0,0,0,0,0,1.07,1.07,1.07,26.74,0,0,1.07,0,44.93,25.67,1.07,0,0,24.61,0,0,5.35,0,0,1.07,0,0
21Day,13.39,5.35,0,13.39,0,5.35,0,0,0,0,0,0,1.34,1.34,2.68,4.02,2.68,45.51,0,0,8.03,0,93.7,4.02,0,17.4,0,10.71,8.03,2.68,12.05,0,1.34,1.34,0,1.34
3Month,0.32,90.87,0,3.52,0,0,0.32,0.64,1.6,0,7.36,1.28,0,2.88,0,2.56,2.24,21.12,0.96,0,3.2,0.64,2.56,0.96,3.52,15.04,0,0.64,0.96,5.44,0.64,0,0,0.32,2.56,1.92
22Month,0.55,220.3,1.09,4.37,0,0,0,1.09,8.2,3.28,97.85,1.09,0,3.83,0,0,5.47,9.84,0,1.64,1.09,0,1.64,2.19,0.55,6.56,1.09,0,1.09,14.21,0.55,0.55,0,0,0,2.19
