stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.07,0,0,0,0,0,0
21Day,26.77,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,3.2,0.32,0.32,3.84,0,0,1.28,0.32,2.56,0.64,24.32,0.64,0.32,1.28,20.8,0,0,0.32,0.32,0.32,0.64,1.6,0,1.28,0.64
22Month,3.28,0.55,0,1.64,0.55,0.55,0.55,0.55,7.65,0,84.18,0,0,0.55,5.47,0,0,0.55,1.09,0,0,0.55,0.55,0,0.55
