stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,44.95,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,35.3,7.49,0,0,4.28,0,0,1.07,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,18.74,0,0,0,14.72,1.34,0,0,2.68,0,0,1.34,2.68,0,0,0
3Month,0,1.28,0.64,9.6,0.32,0.32,0.96,0.32,0,0,8.32,0.96,0,1.28,0.96,9.92,0.32,4.48,0.96,0,0.96,0.32,0,0.64,0.32,0,0.32,1.28,0.32,0,0.32,0.32,0.32
22Month,2.73,0,0,2.19,0,0,0,0,0.55,0,14.76,0,0,0.55,0,1.09,0,1.64,0,1.64,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,0
