stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,8.17,12.26,20.43,24.52,0,0,0,0,4.09,138.94,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,11.77,0,0,7.49,2.14,7.49,1.07,0,0,0,0,0,0,0,0,8.56,16.05,1.07,13.91,0,1.07,0,0,31.02,39.58,0,0,8.56,1.07,0,6.42,0,0,3.21,0,0,0
21Day,10.71,1.34,0,18.74,0,12.05,12.05,2.68,0,0,0,4.02,1.34,13.39,8.03,9.37,8.03,4.02,26.77,0,0,4.02,0,12.05,14.72,0,0,10.71,2.68,1.34,4.02,2.68,1.34,2.68,0,0,0
3Month,1.28,2.88,0.32,18.88,0,0,0.64,0.96,2.56,0,0,122.86,3.52,1.92,12.48,3.84,3.52,3.2,6.4,0.64,0,2.24,0.32,1.92,0,3.2,0,0.64,1.28,49.59,0,0,0,0.32,0.32,28.16,1.92
22Month,0,1.64,0.55,4.37,1.09,0,1.09,0.55,0.55,2.19,0,74.89,1.64,1.09,7.65,1.09,1.09,3.28,2.73,0,1.64,1.09,0,0.55,0,2.19,1.64,0,0.55,3.28,0.55,0,0,0.55,0,0,0
