stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,4.28,0,0,0,22.47,2.14,0,3.21,0,5.35,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,5.35,0,0,2.68,0,6.69,0,1.34,0,20.08,1.34,0,0,0,5.35,1.34,0,0,0,0,0,0,0
3Month,0.64,6.4,1.6,0,0.32,0.32,0.32,0.64,0.32,0,3.52,0.32,0.64,0.96,0,0.32,2.56,13.12,2.88,1.28,0.32,18.24,0.32,4.8,0.64,0,0,0.32,13.44,1.28,0,1.28,0.32,2.88,13.12
22Month,1.09,3.28,0,0,0.55,0,0,1.09,2.19,11.48,14.21,0.55,1.09,1.64,0,0.55,2.19,5.47,0.55,0,0,8.75,0,0.55,0.55,1.09,0,0,6.56,3.83,0.55,1.09,0,0,4.92
