stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,1.07,0,0,0,0,0,0,2.14,0,0,1.07,1.07,8.56,0,1.07,0,2.14,86.65,26.74,1.07,0,0,4.28,0,0,6.42,0,0,0,0,0,0
21Day,4.02,0,0,2.68,0,0,0,0,0,0,0,5.35,1.34,0,2.68,0,8.03,0,0,6.69,0,69.6,17.4,0,1.34,0,0,2.68,1.34,0,1.34,0,0,0,0,13.39
3Month,0.32,1.92,0.32,35.83,0,1.28,0.64,2.24,0,16.96,4.8,2.56,7.04,1.92,4.16,7.04,10.24,0.32,0,1.28,1.92,43.83,0.96,4.8,0.64,0,0,1.28,14.72,0,0.32,0.32,0.32,1.92,2.88,109.42
22Month,1.09,7.65,0,41.55,0,2.19,2.73,4.37,6.01,63.96,2.19,2.19,9.84,1.09,0,7.11,16.4,1.09,3.83,6.01,0.55,34.99,0,10.39,1.64,0.55,1.09,1.09,19.68,1.09,1.64,0,0,2.19,0,89.65
