stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,2.14,8.56,0,4.28,0,0,130.51,5.35,0,0,6.42,0,0,1.07,149.77,247.12,1.07,0,0
21Day,81.65,17.4,8.03,291.8,6.69,133.85,52.2,29.45,53.54,18.74,60.23,38.82,21.42,123.15,56.22,274.4,1.34,45.51,335.97,149.92,8.03,6.69,105.74,105.74,1.34,58.9,4330.15,22223.66,10.71,2.68,38.82
3Month,0,0,0,0.96,0,0,0,0,0.32,0,0,0.64,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0
22Month,0,0,0,1.64,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0.55
