stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,1.07,2.14,1.07,0,0,106.98,12.84,0,1.07,3.21,0,0,0,0,0
21Day,0,0,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,0,42.83,5.35,0,0,0,1.34,0,1.34,0,0
3Month,0,0.64,1.92,0,0,0.32,0.96,2.56,0.96,0.32,0,0.64,0.64,0.32,0,2.88,0,1.92,0.32,0,0,1.6,0,0.96,1.6
22Month,0,0,0,0,0,0,0,9.84,0.55,1.09,0,0,0,0,0.55,0,0,2.73,0,0,0,2.73,0,0,0
