stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,3.2,12.48,0.96,0,25.92,0.32,12.8,1.6,0,101.42,0.96,0.64,0,0,0,8.96,1.28,0,1.92,0,0.64,0.64,0.64,0.64,0.64
22Month,0.55,4.37,3.28,0,0.55,4.92,0,16.4,0.55,0.55,85.82,0,0,1.09,1.09,0.55,1.64,0.55,0,0,0.55,0,0,0,0,1.09
