stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,1.07,0,0,0,0,1.07,2.14,0,1.07,0,0,1.07,0,0,0,0
21Day,1.34,0,0,60.23,8.03,1.34,0,0,0,1.34,0,1.34,1.34,2.68,29.45,4.02,9.37,0,0,0,0,2.68,1.34,0,1.34,2.68,2.68,0,0,0,0,1.34
3Month,0,0,0,26.24,0,0,1.92,0.32,0,2.88,0.32,0.64,1.6,0,7.36,0.32,1.28,0.96,0,0,0.32,0,0,0,0,0,0.96,0,0,0.96,0.32,1.28
22Month,0,2.19,2.19,33.35,0,0,2.73,3.28,1.64,30.07,0.55,1.09,29.52,0,5.47,4.92,7.11,0,1.09,2.19,0,0.55,0,1.09,0,0,3.83,0,0.55,1.64,0,0
